user_id,gender,purchase_frequent,redeem_frequent,total_frequent,purchase_amount,redeem_amount,final_balance
23582,0,0.002342,0.004684,0.007026,98103,98095,128
6956,1,0.000000,0.000000,0.000000,0,0,0
27364,0,0.000000,0.000000,0.000000,0,0,0
3519,1,0.000000,0.000000,0.000000,0,0,0
9466,1,0.000000,0.000000,0.000000,0,0,0
23442,0,0.002342,0.009368,0.011710,15352,55917,521
25465,1,0.007026,0.007026,0.014052,2023451,357106,3043560
17449,1,0.000000,0.000000,0.000000,0,0,0
13558,0,0.000000,0.011710,0.011710,0,193400,117990
18816,0,0.000000,0.000000,0.000000,0,0,0
22998,0,0.000000,0.000000,0.000000,0,0,10
13147,1,0.002342,0.011710,0.014052,3043,2100,943
6849,1,0.000000,0.000000,0.000000,0,0,0
4456,1,0.002342,0.004684,0.007026,9998,24902,268
15923,1,0.000000,0.000000,0.000000,0,0,0
9747,0,0.011710,0.007026,0.018735,3893050,1341660,3605467
6572,0,0.000000,0.000000,0.000000,0,0,0
26739,1,0.000000,0.000000,0.000000,0,0,0
4916,1,0.004684,0.016393,0.021077,76624,131886,655
14040,0,0.028103,0.084309,0.112412,2590481,1488933,1736889
19833,1,0.000000,0.000000,0.000000,0,0,0
12138,1,0.002342,0.009368,0.011710,66275,69191,2104
9746,0,0.000000,0.000000,0.000000,0,0,0
22784,0,0.002342,0.000000,0.002342,990583,0,0
21962,1,0.002342,0.002342,0.004684,10152,203,20819
23288,1,0.018735,0.074941,0.093677,727899,872148,21261
5458,1,0.000000,0.000000,0.000000,0,0,0
21164,1,0.000000,0.000000,0.000000,0,0,0
25929,1,0.023419,0.065574,0.088993,1117284,1280081,6898
15599,1,0.000000,0.000000,0.000000,0,0,0
1646,1,0.000000,0.000000,0.000000,0,0,0
15569,0,0.000000,0.000000,0.000000,0,0,0
21530,0,0.000000,0.000000,0.000000,0,0,0
2931,1,0.014052,0.018735,0.032787,1236627,211214,888996
21942,1,0.002342,0.000000,0.002342,20039,0,20217
6906,0,0.002342,0.000000,0.002342,12401,0,12619
9986,0,0.000000,0.000000,0.000000,0,0,0
10375,0,0.011710,0.051522,0.063232,505294,370069,146123
21697,1,0.000000,0.000000,0.000000,0,0,0
8189,1,0.000000,0.000000,0.000000,0,0,0
14964,1,0.002342,0.028103,0.030445,19604,63973,638
9358,1,0.000000,0.000000,0.000000,0,0,0
15444,0,0.004684,0.002342,0.007026,17198,4011,3398
11437,1,0.000000,0.000000,0.000000,0,0,0
377,0,0.016393,0.028103,0.044496,1771765,3799296,4050
18703,1,0.007026,0.014052,0.021077,168574,168631,2062
17221,1,0.000000,0.000000,0.000000,0,0,0
15666,1,0.000000,0.000000,0.000000,0,0,0
26644,1,0.000000,0.000000,0.000000,0,0,0
8996,1,0.000000,0.011710,0.011710,0,17760,0
20315,0,0.004684,0.009368,0.014052,109917,108485,1516
6140,1,0.000000,0.000000,0.000000,0,0,0
6158,1,0.000000,0.007026,0.007026,0,6000,147
15147,1,0.000000,0.002342,0.002342,0,19564,639
1940,0,0.000000,0.000000,0.000000,0,0,0
2226,1,0.002342,0.002342,0.004684,100181,97994,2327
7988,0,0.000000,0.000000,0.000000,0,0,0
22740,1,0.000000,0.000000,0.000000,0,0,0
20374,1,0.004684,0.014052,0.018735,19585995,82005,0
570,1,0.018735,0.016393,0.035129,12058126,1331826,11110671
1187,1,0.000000,0.000000,0.000000,0,0,0
26587,0,0.002342,0.000000,0.002342,203198,0,206783
4053,1,0.016393,0.002342,0.018735,9083442,2032536,8105718
26721,0,0.121780,0.189696,0.311475,211873,495131,208322
15608,0,0.000000,0.000000,0.000000,0,0,0
6494,1,0.000000,0.000000,0.000000,0,0,0
10121,0,0.042155,0.004684,0.046838,11924675,1246910,13902014
17749,1,0.000000,0.000000,0.000000,0,0,0
9009,1,0.014052,0.072600,0.086651,705809,641644,95536
20379,0,0.000000,0.000000,0.000000,0,0,0
21159,0,0.000000,0.000000,0.000000,0,0,0
21016,0,0.000000,0.000000,0.000000,0,0,0
